artist,track,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
beabadoobee,"Don‚Äôt You (Forget About Me) - live from Abbey Road Studios, London",3.99,41.0,0.644,0.891,2.0,-5.147,1,0.0526,0.00111,0.00798,0.118,0.504,110.007,4,rock
R.E.M.,Drive,4.52,62.0,0.467,0.432,7.0,-11.753,1,0.0283,0.175,0.001,0.226,0.238,142.642,4,rock
Niko B,Who's That What's That,4.0,63.0,0.86,0.668,7.0,-8.512,1,0.221,0.423,1.85e-06,0.096,0.237,128.096,4,pop
Ruthi Navon,◊ó◊©◊û◊ú ◊ë◊õ◊§◊ï◊™ ◊ô◊ì◊ô◊ö,3.97,22.0,0.766,0.526,10.0,-11.819,1,0.0392,0.784,0.000214,0.0879,0.934,141.631,4,rock
Gone Is Gone,Breaks,3.92,28.0,0.407,0.932,11.0,-6.252,1,0.113,0.00363,0.346,0.229,0.173,102.954,4,metal
Violent Soho,Covered in Chrome,3.54,55.0,0.564,0.753,5.0,-5.223,1,0.0433,0.00512,2.43e-06,0.167,0.414,152.064,4,rock
FLO,D's,13.52,66.0,0.266,0.294,7.0,-11.938,0,0.0291,0.771,0.697,0.107,0.0397,137.941,3,pop
Pain of Salvation,Meaningless,4.79,42.0,0.579,0.661,7.0,-4.011,1,0.0422,0.0675,0.000373,0.303,0.374,144.909,3,rock
Black Sabbath,Paranoid,2.81,16.0,0.426,0.619,4.0,-11.501,0,0.0722,8.44e-05,0.00239,0.17,0.382,162.721,4,rock
The Dark Element,Songs the Night Sings,5.16,47.0,0.449,0.854,3.0,-8.261,1,0.0431,4.62e-05,0.016,0.246,0.408,152.142,4,metal
The First Edition,Just Dropped In (To See What Condition My Condition Was In),3.35,57.0,0.58,0.551,9.0,-9.898,0,0.0582,0.181,0.00719,0.15,0.516,115.896,4,rock
Alka Yagnik,Aaye Ho Meri Zindagi Mein - Female Version,6.06,42.0,0.565,0.754,8.0,-11.636,0,0.0344,0.678,0.0442,0.0756,0.922,135.01,3,bollywood
The 1975,She's American,4.5,57.0,0.639,0.859,1.0,-3.923,1,0.0554,0.18,0.000499,0.0798,0.523,115.97,4,rock
Winger,Seventeen,4.09,60.0,0.577,0.676,8.0,-11.931,1,0.0295,0.000895,2.29e-06,0.0625,0.676,95.98,4,metal
Piers Faccini,Bring Down The Wall,3.43,28.0,0.454,0.387,2.0,-10.159,0,0.0417,0.406,0.00099,0.0783,0.686,97.995,4,rock
Thirty Seconds To Mars,Dangerous Night,3.33,56.0,0.295,0.715,2.0,-6.533,1,0.0709,0.00212,1.55e-06,0.242,0.242,86.937,4,rock
Butcher Babies,Sleeping with the Enemy,3.55,48.0,0.438,0.951,7.0,-5.192,0,0.0736,4.63e-05,0.233,0.351,0.461,165.088,4,metal
JADHU,Fling,3.75,32.0,0.62,0.835,9.0,-6.711,0,0.0319,0.273,0.00339,0.113,0.699,99.022,4,pop
Bring Me The Horizon,Parasite Eve,4.86,69.0,0.589,0.797,9.0,-5.464,1,0.15,0.0289,4.35e-06,0.383,0.232,102.489,4,rock
Frost*,Day and Age - Edit,5.03,38.0,0.443,0.858,8.0,-6.935,1,0.0378,0.000843,0.00243,0.18,0.34,169.951,4,metal
Toto Espinoza,Frida Kahlo,5.74,41.0,0.605,0.162,4.0,-12.932,0,0.0353,0.98,0.899,0.104,0.126,95.576,3,instrumental
Jimi Hendrix,Purple Haze,2.85,71.0,0.533,0.905,2.0,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,4,rock
Eskiz,Aborjinin T√ºrk√ºs√º,4.15,21.0,0.588,0.747,7.0,-6.064,1,0.0498,0.116,7.2e-05,0.244,0.263,138.067,4,rock
Lowest Creature,Reapers Fool,3.37,23.0,0.487,0.975,11.0,-4.974,1,0.105,7.47e-05,0.0183,0.201,0.526,139.964,4,metal
Tomer Yeshayahu,◊ë◊ú◊ô ◊ú◊¢◊ñ◊ï◊ë,3.66,30.0,0.621,0.375,5.0,-11.8,1,0.0297,0.701,1.2e-06,0.122,0.508,132.611,4,pop
S. P. Balasubrahmanyam,Mere Rang Mein Rangne Wali,6.9,34.0,0.548,0.347,7.0,-14.7,0,0.0362,0.771,0.00175,0.124,0.498,117.75,4,bollywood
Scary Kids Scaring Kids,Holding On,4.35,49.0,0.421,0.935,8.0,-5.153,0,0.0697,0.000442,0.000212,0.1,0.455,165.02,4,rock
Ghali,Combo (feat. Mr Eazi),2.93,41.0,0.825,0.781,9.0,-4.732,0,0.107,0.0833,3.55e-05,0.26,0.812,100.013,4,pop
Gwar,Sick of You,3.15,48.0,0.657,0.535,1.0,-9.715,1,0.047,0.000329,0.000492,0.318,0.738,132.257,4,metal
Malcolm McLaren,Buffalo Gals,4.32,41.0,0.881,0.636,4.0,-13.617,0,0.156,0.0257,0.000257,0.207,0.616,108.863,4,hiphop
Arcade Fire,Ready to Start,4.26,58.0,0.282,0.932,9.0,-4.701,1,0.0387,0.12,0.0335,0.0692,0.536,190.08,4,rock
3 Doors Down,Your Arms Feel Like home,3.74,37.0,0.548,0.709,9.0,-6.557,0,0.0273,0.00678,3.82e-06,0.104,0.191,119.998,4,rock
ARXX,Deep,3.0,33.0,0.65,0.6,9.0,-10.615,0,0.04,0.0278,0.00121,0.811,0.795,110.016,4,rock
Crown Lands,Howlin' Back Again,2.83,39.0,0.494,0.969,6.0,-2.694,1,0.222,0.172,0.00158,0.148,0.165,121.214,4,rock
A Scent Like Wolves,Telephone,3.31,39.0,0.553,0.939,3.0,-4.04,0,0.0795,0.000833,0.000181,0.404,0.369,124.984,4,metal
Stephen Taranto,Pixel Heart: Verdant,5.21,28.0,0.373,0.964,11.0,-7.925,0,0.0798,0.000152,0.791,0.109,0.207,83.958,4,metal
Deep Purple,Gettin' Tighter,3.64,43.0,0.42,0.831,7.0,-9.069,1,0.0754,0.00028,0.0711,0.153,0.752,120.867,4,rock
Post Malone,Motley Crew,3.07,90.0,0.797,0.631,3.0,-3.818,0,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,4,pop
Yehudit Ravitz,◊®◊ó◊ë◊™ ◊î◊®◊ô◊ß◊ï◊ì◊ô◊ù,4.98,20.0,0.418,0.761,9.0,-8.285,1,0.0557,0.295,1.37e-06,0.36,0.467,152.472,4,rock
Charlie Puth,Cheating on You,3.28,75.0,0.749,0.535,4.0,-6.785,1,0.0336,0.0131,3.65e-05,0.0982,0.601,123.042,4,pop
Ravid Plotnik,◊†◊¢◊†◊¢,5.34,46.0,0.709,0.337,7.0,-13.14,1,0.106,0.447,0.000162,0.846,0.387,68.0,4,hiphop
Ulver,Little Boy,5.39,33.0,0.283,0.41,4.0,-14.35,1,0.0423,0.00106,0.287,0.109,0.0612,91.127,4,rock
Alien Ant Farm,Smooth Criminal,3.49,75.0,0.653,0.964,9.0,-4.261,0,0.0582,0.00316,0.00512,0.144,0.87,126.928,4,pop
Live,Selling The Drama,3.47,57.0,0.45,0.914,6.0,-6.741,1,0.0647,0.0106,8.18e-05,0.101,0.336,124.42,4,rock
Something Corporate,Punk Rock Princess,3.87,51.0,0.522,0.881,7.0,-5.231,1,0.0847,0.00303,0.000147,0.0939,0.369,130.084,4,rock
Enamour,Dragonfly,4.33,32.0,0.754,0.795,7.0,-9.793,0,0.0384,0.0186,0.906,0.0852,0.21,122.007,4,pop
mehro,chance with you,3.59,52.0,0.562,0.494,4.0,-8.13,0,0.0278,0.864,0.0259,0.153,0.383,144.104,4,pop
Ayron Jones,Take Me Away,4.12,57.0,0.475,0.844,1.0,-4.448,0,0.0622,0.00012,0.111,0.221,0.554,156.136,4,rock
Dream Drop,Reckless Demon Youth,3.05,35.0,0.375,0.927,6.0,-5.385,0,0.123,0.000111,8.99e-06,0.193,0.414,183.998,4,metal
Eagles,Life in the Fast Lane - 2013 Remaster,4.77,72.0,0.667,0.755,9.0,-7.246,1,0.069,0.0966,6.94e-05,0.0523,0.883,109.535,4,rock
Icon of Sin,Virtual Empire,5.88,33.0,0.494,0.958,4.0,-7.765,0,0.0511,0.0361,0.000226,0.387,0.313,145.055,4,metal
Spirit Adrift,Supernaut,4.72,32.0,0.425,0.925,7.0,-6.246,1,0.105,2.22e-05,0.0723,0.0973,0.313,118.066,4,metal
Shlomo Artzi,◊ú◊î◊¶◊ô◊ú ◊ê◊ï◊™◊ö,4.67,29.0,0.605,0.772,1.0,-6.679,0,0.0262,0.298,1.96e-05,0.131,0.836,129.99,4,rock
The Rapture,How Deep Is Your Love?,6.43,52.0,0.472,0.826,9.0,-3.938,0,0.0594,0.000617,0.000713,0.187,0.132,122.326,4,rock
Habalyanim,◊©◊ï◊ë◊ô◊†◊ô◊°◊ò,4.01,15.0,0.522,0.769,10.0,-5.841,0,0.191,0.104,0.000114,0.0643,0.793,189.803,4,rock
Gabi Shoshan,◊ô◊ú◊ì◊î ◊ß◊ò◊†◊î,4.01,27.0,0.688,0.544,7.0,-11.393,0,0.037,0.576,0.000231,0.0894,0.633,135.231,4,rock
DIIV,Skin Game,4.42,43.0,0.484,0.754,6.0,-6.326,0,0.0383,0.00011,0.806,0.123,0.399,124.971,4,rock
The Swellers,The Best I Ever Had,3.99,49.0,0.359,0.983,2.0,-3.69,0,0.0864,9.09e-05,3.54e-05,0.335,0.486,193.042,4,rock
Emery,Walls,3.4,46.0,0.274,0.915,1.0,-5.259,0,0.167,0.0139,7.37e-05,0.161,0.419,169.161,4,rock
Lionel Richie,Stuck On You - Live,4.34,22.0,0.439,0.682,4.0,-9.044,1,0.042,0.113,1.1e-05,0.973,0.345,142.113,4,pop
Oren Barzilay,◊®◊ß ◊ê◊ï◊™◊ö,3.45,17.0,0.636,0.616,7.0,-9.267,1,0.0589,0.0521,5.14e-05,0.192,0.48,82.99,4,rock
Foo Fighters,All My Life,4.39,73.0,0.577,0.604,5.0,-5.703,1,0.0495,0.000218,0.000579,0.477,0.637,167.719,4,rock
"Luiz Bonfá, Panos Megarchiotis",Passeio No Rio - Arranged by Carlos Barbosa-Lima,3.07,40.0,0.571,0.158,2.0,-16.835,1,0.0779,0.964,0.919,0.108,0.308,114.315,4,instrumental
Hadag Nahash,◊®◊°◊ô◊°◊ô◊ù ◊¢◊ú ◊î◊ó◊ï◊£,3.4,27.0,0.631,0.547,4.0,-8.488,0,0.119,0.35,2.7e-05,0.113,0.719,164.988,4,pop
No Somos Marineros,Los Bajos Fondos,2.89,33.0,0.483,0.603,4.0,-9.907,1,0.0386,0.348,0.878,0.0911,0.0907,179.392,3,rock
The All-American Rejects,"Swing, Swing",3.89,68.0,0.553,0.717,7.0,-5.857,1,0.0318,6.48e-05,0.128,0.0385,0.318,127.947,4,pop
Ronnie Robinson Trio,Pent-Up House,2.3,38.0,0.674,0.335,7.0,-13.903,1,0.0444,0.885,0.914,0.101,0.662,168.741,3,instrumental
Allegaeon,Concerto in Dm,7.35,35.0,0.556,0.969,2.0,-3.778,1,0.0402,0.000119,0.829,0.378,0.325,103.994,4,metal
Quami,Squeeze Me,4.84,17.0,0.694,0.907,9.0,-3.854,1,0.0458,0.0765,6.2e-05,0.13,0.573,114.98,4,hiphop
Ghost Iris,Coda,4.05,43.0,0.489,0.994,1.0,-2.236,0,0.113,2.05e-05,0.00683,0.333,0.218,90.015,4,metal
Billie Eilish,I Didn't Change My Number,2.64,77.0,0.849,0.48,9.0,-5.835,1,0.226,0.612,0.269,0.295,0.677,142.021,4,pop
Garbage,Wolves - Edit,3.66,18.0,0.484,0.956,5.0,-6.388,0,0.0357,2.59e-05,0.705,0.257,0.643,145.004,4,rock
Britney Spears,Liar,3.28,40.0,0.59,0.776,6.0,-5.272,0,0.0705,0.00705,1.69e-05,0.414,0.81,159.946,4,pop
Ruff Sqwad,Functions On the Low,4.7,37.0,0.737,0.649,8.0,-7.709,0,0.142,0.816,0.147,0.201,0.579,139.961,4,hiphop
The Black Keys,Little Black Submarines,4.19,67.0,0.365,0.466,2.0,-7.514,1,0.0418,0.161,6.68e-06,0.106,0.487,95.163,4,rock
Wolfmother,Woman,2.93,60.0,0.191,0.948,9.0,-3.496,0,0.217,2.78e-05,0.0864,0.0945,0.215,150.753,4,rock
Led Zeppelin,No Quarter - Remaster,6.99,56.0,0.339,0.34,11.0,-14.377,1,0.0385,0.657,0.459,0.375,0.117,142.362,4,rock
Beloved,Only Our Faces Hide,3.88,30.0,0.361,0.954,2.0,-4.097,1,0.0575,2e-05,0.223,0.309,0.176,172.944,4,rock
The Cult,She Sells Sanctuary,4.21,69.0,0.55,0.765,7.0,-8.684,1,0.0287,4.76e-06,0.873,0.132,0.419,139.46,4,rock
Carach Angren,Franckensteina Strataemontanus,3.05,39.0,0.57,0.916,8.0,-6.899,1,0.043,0.00439,0.138,0.135,0.359,100.041,4,metal
Fleshkiller,Parallel Kingdom,4.44,20.0,0.45,0.977,1.0,-4.172,1,0.122,4.26e-06,0.532,0.414,0.256,130.009,3,metal
Big Brother & The Holding Company,Piece of My Heart,4.22,69.0,0.443,0.727,4.0,-7.951,1,0.145,0.263,0.000141,0.169,0.566,160.82,4,rock
Best Friends Club,Evil Containment Wave (Part II),4.17,20.0,0.814,0.569,9.0,-13.422,0,0.0796,0.554,0.821,0.132,0.514,120.005,4,pop
Van Halen,Hot For Teacher,4.71,69.0,0.552,0.947,2.0,-4.671,1,0.15,0.000652,0.00025,0.0637,0.465,127.631,4,rock
The Sounds,Painted By Numbers,3.33,47.0,0.475,0.807,3.0,-3.959,0,0.0332,0.0136,6.74e-05,0.109,0.731,145.179,4,rock
Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",4.69,80.0,0.601,0.532,10.0,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,4,rock
The Ben Webster Quintet,Makin' Whoopee,4.53,40.0,0.529,0.0582,8.0,-19.131,1,0.0617,0.883,0.125,0.116,0.357,93.486,4,instrumental
Galleons,Playing With Fire is Such a Clich√©,5.05,42.0,0.471,0.925,7.0,-4.633,1,0.0598,0.000254,2.65e-05,0.356,0.0768,100.012,4,metal
Zara Larsson,Morning,2.92,34.0,0.619,0.631,11.0,-6.018,1,0.104,0.131,1.18e-06,0.246,0.772,106.309,4,pop
Hadag Nahash,◊°◊¢!,3.8,40.0,0.83,0.819,1.0,-4.78,0,0.0686,0.00741,5.45e-06,0.134,0.846,113.002,4,hiphop
Don Henley,Sunset Grill,6.32,48.0,0.557,0.577,8.0,-12.175,1,0.027,0.0796,2.31e-05,0.0604,0.445,91.877,4,rock
"Mukesh, Lata Mangeshkar",Aa Ab Laut Chalen,4.38,23.0,0.293,0.567,9.0,-7.705,0,0.0394,0.872,0.00212,0.44,0.669,146.359,4,bollywood
"Car, the garden",A Kid From Bathroom,2.73,23.0,0.616,0.754,5.0,-3.887,0,0.0404,0.324,0.00049,0.0897,0.484,113.959,4,rock
Sense Field,Dreams,4.38,23.0,0.505,0.659,3.0,-12.146,1,0.0256,0.0321,0.00986,0.116,0.461,101.53,1,rock
"Earth, Wind & Fire",September,3.58,80.0,0.697,0.832,9.0,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,4,rock
Type O Negative,Cinnamon Girl,4.14,45.0,0.484,0.913,1.0,-5.942,1,0.045,0.13,0.78,0.0992,0.465,99.052,4,metal
Tempa T,Next Hype - Instrumental,3.99,19.0,0.869,0.761,8.0,-6.449,1,0.105,0.0016,0.829,0.0736,0.281,139.973,4,hiphop
Viscera,Lamb to the Slaughter,3.84,33.0,0.423,0.958,7.0,-5.251,0,0.188,2.46e-05,0.127,0.388,0.174,119.967,4,metal
"Samuel Lindon, Ensemble Cordes De La Mer",La Tour - Orchestral Version,2.32,44.0,0.179,0.059,2.0,-18.992,0,0.0387,0.985,0.951,0.101,0.0845,74.702,4,instrumental
Black Pumas,Colors,4.11,66.0,0.546,0.696,4.0,-6.537,1,0.0335,0.0887,1.84e-05,0.195,0.596,89.882,4,rock
The Jesus and Mary Chain,April Skies,3.99,54.0,0.545,0.717,3.0,-6.869,1,0.036,0.00417,0.406,0.136,0.589,118.515,4,rock
Charlie Feathers,One Hand Loose,2.41,31.0,0.661,0.762,4.0,-9.581,1,0.038,0.792,3.38e-05,0.121,0.911,89.292,4,rock
Power Trip,Executioner's Tax (Swing of the Axe),3.75,54.0,0.484,0.991,8.0,-4.028,0,0.0676,0.000289,0.657,0.359,0.559,167.035,4,metal
Alien Sex Fiend,I Walk The Line,4.86,36.0,0.564,0.804,2.0,-11.786,1,0.0733,0.0311,0.81,0.0463,0.397,123.716,4,rock
Paladin,The River Dragon Has Come,5.08,28.0,0.485,0.975,6.0,-4.956,1,0.0692,3.07e-05,0.00077,0.0443,0.265,139.91,4,metal
Michael Kiwanuka,You Ain't The Problem,4.16,59.0,0.643,0.773,1.0,-7.998,1,0.0414,0.188,0.000412,0.0986,0.653,124.538,4,pop
MONOEYES,„É™„Ç∂„Éº„Éâ„Éû„É≥,4.12,40.0,0.472,0.862,9.0,-4.835,1,0.0324,2.49e-05,6.08e-06,0.076,0.0956,94.984,4,rock
Concha Piquer,Tatuaje,3.14,35.0,0.46,0.223,2.0,-8.974,0,0.138,0.995,0.0957,0.253,0.306,78.306,4,pop
Ana Alcaide,Elenion,4.31,40.0,0.701,0.204,4.0,-17.527,0,0.0406,0.964,0.835,0.0985,0.27,104.983,3,instrumental
James Taylor,Fire and Rain - 2019 Remaster,3.39,73.0,0.597,0.271,5.0,-17.293,1,0.0394,0.766,0.0119,0.0933,0.338,76.271,4,rock
elegant slims,Not Human,3.32,46.0,0.52,0.815,11.0,-4.758,0,0.0488,0.00172,1.92e-06,0.089,0.466,91.972,4,rock
Ms. Lauryn Hill,Lost Ones,5.57,61.0,0.832,0.749,2.0,-6.129,1,0.37,0.0998,3.74e-06,0.0837,0.65,94.899,4,hiphop
Dire Straits,Money For Nothing,8.52,42.0,0.666,0.667,2.0,-9.305,0,0.0371,0.043,0.0005,0.074,0.679,134.219,4,rock
Kojaque,Town's Dead,3.11,45.0,0.529,0.746,8.0,-8.288,1,0.0649,0.0271,7.94e-06,0.158,0.184,83.978,4,rock
Limp Bizkit,Take A Look Around,5.35,72.0,0.425,0.852,11.0,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968,4,rock
"Pritam, Arijit Singh","Hardum Humdum (From ""Ludo"")",3.13,50.0,0.59,0.821,2.0,-4.933,1,0.0444,0.346,8.38e-06,0.454,0.784,116.942,4,bollywood
Van Halen,Poundcake,5.36,39.0,0.487,0.948,4.0,-7.754,1,0.043,0.000662,0.102,0.0506,0.242,105.395,4,metal
The Who,Behind Blue Eyes,3.69,71.0,0.394,0.622,4.0,-8.258,0,0.0336,0.213,4.45e-05,0.0892,0.342,126.844,4,rock
Caitlyn Smith,Cheap Date,3.17,54.0,0.587,0.299,2.0,-6.649,1,0.0327,0.853,2.11e-06,0.149,0.184,96.657,3,pop
"Gaetano Donizetti, Academy of St. Martin in the Fields, Sir Neville Marriner",String Quartet in D - Arr. for string orchestra: 1. Allegro,6.86,20.0,0.269,0.154,9.0,-18.072,1,0.0387,0.93,0.751,0.109,0.104,134.817,4,instrumental
ILLENIUM,Crawl Outta Love - The Glitch Mob Remix,5.16,41.0,0.476,0.798,2.0,-5.405,1,0.0869,0.00677,0.0914,0.583,0.0372,92.781,4,rock
"ATB, Topic, A7S",Your Love (9PM),2.5,88.0,0.669,0.784,7.0,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,4,pop
MOSES,Cause You Got Me,3.88,46.0,0.494,0.805,1.0,-6.437,1,0.0293,0.000595,7.12e-05,0.0636,0.571,96.996,4,rock
Aerosmith,Train Kept a Rollin',5.55,53.0,0.359,0.854,11.0,-9.799,0,0.0418,0.00194,0.00767,0.841,0.472,99.414,4,rock
Black Sabbath,Iron Man - 2012 - Remaster,5.89,38.0,0.336,0.796,6.0,-10.845,0,0.0896,0.00361,0.00143,0.0621,0.417,155.28,4,rock
Yung Bleu,Ghetto Love Birds,3.1,57.0,0.604,0.522,8.0,-6.796,1,0.0924,0.734,0.000172,0.113,0.287,93.169,4,hiphop
DDG,Get What You Want (feat. PnB Rock),3.1,50.0,0.799,0.494,7.0,-12.029,1,0.266,0.147,0.000929,0.115,0.234,136.019,4,hiphop
Dead Pony,Speak of the Devil,3.59,32.0,0.431,0.777,7.0,-7.853,1,0.0494,0.000207,1.25e-05,0.105,0.361,76.027,4,rock
Isaac DaBom,◊™◊ë◊ò◊ô◊ó◊ô ◊ú◊ô,4.69,15.0,0.831,0.632,8.0,-8.875,0,0.13,0.139,2.71e-06,0.112,0.647,103.023,4,pop
The Kinks,Lola - Remastered,4.03,57.0,0.468,0.839,9.0,-7.39,1,0.0365,0.459,0.461,0.151,0.935,151.842,4,rock
Suldusk,The Elm,3.51,38.0,0.601,0.439,4.0,-10.507,0,0.0253,0.43,0.00107,0.125,0.186,106.973,4,metal
Yameii Online,Baby My Phone,3.6,70.0,0.427,0.666,5.0,-7.902,0,0.0415,0.176,0.229,0.0856,0.232,85.022,4,pop
Jack Fruit,wrong but worth it,2.98,30.0,0.627,0.5,9.0,-9.615,0,0.046,0.0957,0.0385,0.522,0.353,120.025,4,pop
The Zombies,Time of the Season - Mono Version,3.57,66.0,0.537,0.7,4.0,-6.852,0,0.0366,0.142,1.58e-06,0.383,0.695,117.111,4,rock
AC/DC,Big Gun,4.32,59.0,0.569,0.901,9.0,-5.197,1,0.0544,0.00555,0.26,0.16,0.839,133.194,4,metal
Machine Gun Kelly,forget me too (feat. Halsey),2.86,80.0,0.654,0.875,1.0,-4.845,1,0.0744,0.000417,0.0086,0.194,0.522,99.975,4,rock
Johnny Cash,Big River,2.52,54.0,0.632,0.559,5.0,-10.49,1,0.0674,0.854,0.000103,0.127,0.884,182.942,4,rock
Five Finger Death Punch,"Blue On Black (feat. Kenny Wayne Shepherd, Brantley Gilbert & Brian May)",4.58,58.0,0.45,0.872,7.0,-4.91,1,0.0353,0.0018,1.61e-05,0.0833,0.396,156.059,4,metal
2 Chainz,Grey Area,2.86,70.0,0.897,0.767,11.0,-4.544,1,0.0959,0.0679,0.000364,0.129,0.675,134.913,4,hiphop
